BASIN_HUC BASIN_ID Runoff(mm_day-1) Precip(mm_day-1) PET(mm_day-1) Temp(oC)
01 01013500 1.660 2.781 1.950 3.931
01 01022500 2.086 3.186 2.093 6.732
01 01030500 1.773 3.123 2.011 5.609
01 01031500 1.983 3.251 2.033 5.415
01 01047000 2.094 3.433 2.070 5.378
01 01052500 2.284 3.419 1.984 3.908
01 01054200 2.671 3.964 2.085 4.849
01 01055000 2.166 3.196 2.046 4.520
01 01057000 1.786 3.240 2.146 6.503
01 01073000 1.667 3.285 2.325 8.648
01 01078000 1.718 3.103 2.192 6.678
01 01118300 2.101 3.394 2.532 10.352
01 01121000 1.835 3.305 2.404 9.251
01 01123000 1.750 3.245 2.435 9.696
01 01134500 2.025 3.171 2.017 4.916
01 01137500 2.340 3.996 2.034 4.020
01 01139000 1.593 3.008 2.071 5.605
01 01139800 1.755 2.994 2.087 5.497
01 01142500 1.722 3.289 2.125 6.174
01 01144000 1.801 3.269 2.138 5.970
01 01162500 1.724 3.179 2.291 7.655
01 01169000 2.172 3.596 2.280 7.377
01 01170100 2.076 3.679 2.272 7.438
01 01181000 2.055 3.724 2.320 7.564
01 01187300 2.044 3.679 2.365 8.222
01 01195100 1.639 3.309 2.587 10.628
01 04296000 1.657 3.169 2.030 5.444
02 01333000 1.969 3.269 2.272 7.179
02 01350000 1.994 3.334 2.246 6.296
02 01350080 1.508 2.854 2.265 6.783
02 01350140 1.468 2.858 2.227 6.602
02 01365000 2.588 3.761 2.320 6.826
02 01411300 1.203 3.015 2.804 12.534
02 01413500 1.876 3.049 2.229 6.367
02 01414500 2.100 3.131 2.225 6.146
02 01415000 1.718 3.049 2.216 6.685
02 01423000 1.732 3.041 2.214 6.711
02 01434025 2.764 3.944 2.290 6.207
02 01435000 2.799 3.700 2.304 6.413
02 01439500 1.960 3.341 2.433 8.835
02 01440000 1.743 3.232 2.475 9.741
02 01440400 2.039 3.458 2.399 8.548
02 01451800 1.689 3.362 2.531 10.453
02 01466500 0.755 3.171 2.710 12.054
02 01484100 1.077 3.051 2.810 12.995
02 01485500 1.097 3.140 2.937 13.537
02 01486000 1.057 3.040 2.924 13.527
02 01487000 1.167 3.064 2.828 13.188
02 01491000 1.158 3.048 2.802 12.916
02 01510000 1.771 3.006 2.216 6.892
02 01516500 0.986 2.530 2.290 7.737
02 01518862 1.145 2.687 2.263 7.262
02 01532000 1.291 2.728 2.328 8.223
02 01539000 1.701 3.079 2.390 8.706
02 01542810 1.601 2.900 2.289 7.902
02 01543000 1.634 2.934 2.297 7.953
02 01543500 1.629 2.916 2.322 8.187
02 01544500 1.605 2.834 2.297 7.721
02 01545600 1.476 2.898 2.317 8.035
02 01547700 1.314 2.717 2.401 9.236
02 01548500 1.376 2.668 2.275 7.561
02 01549500 1.478 2.669 2.312 7.981
02 01550000 1.630 2.719 2.310 8.064
02 01552000 1.688 2.984 2.314 8.076
02 01552500 1.944 3.201 2.304 7.783
02 01557500 1.584 2.845 2.418 9.151
02 01567500 1.287 2.937 2.513 10.173
02 01568000 1.365 2.923 2.522 10.257
02 01580000 1.262 3.095 2.651 11.522
02 01583500 1.067 3.057 2.675 11.808
02 01586610 1.153 2.954 2.687 11.872
02 01591400 1.014 2.933 2.726 12.232
02 01594950 1.878 3.415 2.511 9.184
02 01596500 1.492 2.838 2.516 8.954
02 01605500 1.001 2.771 2.954 9.190
02 01606500 1.179 2.862 2.598 9.150
02 01613050 1.200 2.739 2.526 10.084
02 01620500 1.554 2.772 2.697 9.848
02 01632000 0.918 2.651 2.694 10.505
02 01632900 0.777 2.556 2.740 11.950
02 01634500 0.982 2.664 2.696 11.370
02 01638480 0.992 2.985 2.731 12.299
02 01639500 1.095 2.940 2.645 11.494
02 01644000 0.962 2.977 2.746 12.539
02 01658500 0.888 2.849 2.840 13.129
02 01664000 1.067 3.103 2.768 12.568
02 01666500 1.196 3.205 2.851 12.852
02 01667500 1.126 3.182 2.887 12.906
02 01669000 0.936 3.068 2.926 13.923
02 01669520 1.067 3.091 2.957 14.126
02 02011400 0.993 2.902 2.677 9.731
02 02011460 1.416 3.020 2.639 9.053
02 02013000 0.988 2.747 2.727 10.887
02 02014000 1.061 2.796 2.714 10.815
02 02015700 1.344 2.838 2.669 9.777
02 02016000 1.148 2.876 2.743 10.759
02 02017500 1.159 2.851 2.733 10.710
02 02018000 1.096 2.838 2.782 11.331
02 02027000 1.603 3.357 2.850 11.822
02 02027500 1.838 3.284 2.873 11.886
02 02028500 1.405 3.239 2.830 12.392
02 02038850 0.838 3.021 3.254 13.777
03 02046000 0.860 3.112 3.010 14.566
03 02051000 0.768 3.001 3.009 14.309
03 02051500 0.841 3.049 3.105 14.554
03 02053200 0.876 3.181 3.082 15.334
03 02053800 0.960 2.835 2.849 11.460
03 02055100 0.986 2.967 2.884 12.810
03 02056900 1.010 3.041 3.143 12.789
03 02059500 0.893 3.054 3.294 13.479
03 02064000 0.918 3.008 3.570 14.023
03 02065500 0.946 3.011 3.292 14.145
03 02069700 1.330 3.483 3.057 13.286
03 02070000 1.125 3.288 4.093 13.989
03 02074500 0.955 3.136 3.019 14.267
03 02077200 0.920 3.066 3.221 14.983
03 02081500 0.862 3.167 3.065 14.959
03 02082950 0.870 3.180 3.213 15.234
03 02092500 1.005 3.478 3.245 16.836
03 02096846 0.760 3.114 3.118 15.185
03 02102908 1.353 3.169 3.210 16.589
03 02108000 1.094 3.521 3.279 17.287
03 02111180 1.640 3.443 3.363 12.389
03 02111500 1.354 3.420 3.005 13.085
03 02112120 1.255 3.346 2.992 12.982
03 02112360 1.427 3.266 3.004 13.331
03 02118500 1.121 3.285 3.088 14.480
03 02125000 0.963 3.034 3.221 15.712
03 02128000 0.946 3.103 3.172 15.491
03 02137727 1.745 3.366 3.040 12.862
03 02140991 1.645 3.609 3.016 12.877
03 02143000 1.419 3.375 3.128 14.504
03 02143040 1.665 3.611 3.131 14.379
03 02149000 1.508 3.413 3.134 14.381
03 02152100 1.259 3.641 3.115 14.276
03 02177000 2.739 4.884 3.122 12.939
03 02178400 2.805 4.587 3.065 12.309
03 02193340 0.674 3.088 3.419 17.230
03 02196000 0.566 3.050 4.441 17.359
03 02198100 0.781 3.135 3.579 18.465
03 02202600 0.680 3.183 3.657 19.358
03 02212600 0.696 3.177 3.440 17.549
03 02215100 0.850 3.194 3.580 18.664
03 02216180 0.860 3.184 3.635 19.068
03 02221525 0.728 3.153 3.430 17.384
03 02231000 0.761 3.575 3.805 20.674
03 02231342 0.855 3.584 4.271 23.298
03 02235200 0.439 3.539 4.441 22.328
03 02245500 0.896 3.543 4.037 21.397
03 02246000 0.937 3.591 3.890 21.103
03 02296500 0.691 3.434 4.246 23.026
03 02297155 0.666 3.467 4.195 22.934
03 02297310 0.834 3.500 4.536 22.973
03 02298123 0.881 3.459 4.278 23.235
03 02298608 1.228 3.519 4.230 23.058
03 02299950 1.135 3.460 4.200 22.975
03 02300700 1.446 3.283 4.203 23.036
03 02310947 0.416 3.487 4.118 22.492
03 02312200 0.452 3.429 4.077 22.371
03 02314500 0.677 3.440 3.758 20.109
03 02315500 0.604 3.494 3.763 20.216
03 02324400 0.620 3.669 3.784 20.246
03 02327100 1.659 4.034 3.822 19.928
03 02342933 0.875 3.368 3.553 18.530
03 02349900 0.818 3.132 3.573 18.639
03 02350900 0.900 3.349 3.567 18.703
03 02361000 1.131 3.487 3.606 19.009
03 02363000 1.043 3.623 3.583 18.600
03 02369800 1.436 4.217 3.642 19.184
03 02371500 1.086 3.723 3.564 18.365
03 02372250 1.145 3.805 3.561 18.223
03 02374500 1.431 4.028 4.955 18.598
03 02381600 1.441 3.944 3.138 14.603
03 02384540 2.197 3.735 3.154 14.855
03 02395120 1.189 3.471 3.367 16.078
03 02408540 1.381 3.615 3.396 17.022
03 02415000 1.432 3.662 3.433 16.846
03 02422500 1.256 3.751 3.449 17.596
03 02427250 1.215 3.925 4.098 18.430
03 02430085 1.634 3.836 3.300 16.626
03 02430615 1.601 3.834 3.308 16.647
03 02450250 1.610 3.796 3.292 16.298
03 02464000 1.492 3.802 3.387 17.139
03 02464146 1.490 3.660 3.463 17.332
03 02464360 1.414 3.761 3.865 17.445
03 02465493 1.129 3.754 3.706 17.596
03 02469800 1.232 3.896 3.589 18.337
03 02472000 1.317 3.974 3.561 18.210
03 02472500 1.312 4.002 3.606 18.558
03 02479155 1.551 3.960 3.665 19.150
03 02479300 1.755 4.201 3.689 19.566
03 02479560 1.748 4.125 3.648 19.080
03 02481000 1.943 4.358 3.784 19.930
03 02481510 1.731 4.305 3.699 19.602
04 04015330 1.037 2.158 2.153 4.783
04 04024430 0.870 2.156 2.122 5.227
04 04027000 0.950 2.367 2.112 5.312
04 04040500 1.093 2.365 2.147 4.509
04 04043050 1.446 2.180 2.133 4.716
04 04045500 1.028 2.254 2.651 5.658
04 04056500 1.171 2.353 2.195 5.527
04 04057510 0.917 2.322 2.308 6.006
04 04057800 1.130 2.270 2.062 4.371
04 04059500 0.722 2.094 2.472 5.508
04 04063700 0.704 2.156 2.131 5.101
04 04074950 0.844 2.219 2.168 5.323
04 04105700 1.067 2.648 2.428 8.720
04 04115265 0.762 2.362 2.371 8.119
04 04122200 1.083 2.513 2.431 8.162
04 04122500 1.110 2.537 2.578 7.870
04 04124000 1.176 2.300 2.219 6.855
04 04127918 0.981 2.214 2.129 5.556
04 04127997 1.080 2.319 2.176 6.507
04 04161580 0.608 2.344 2.497 8.457
04 04185000 0.905 2.513 2.491 9.553
04 04196800 0.883 2.489 2.572 10.593
04 04197100 0.890 2.640 2.643 10.202
04 04197170 0.878 2.594 2.622 10.310
04 04213000 1.641 2.744 2.376 -2.633
04 04213075 1.494 2.204 0.265 -44.654
04 04216418 1.430 2.877 2.283 7.427
04 04221000 1.269 2.726 2.253 6.888
04 04224775 1.069 2.526 2.245 7.304
04 04233000 1.103 2.768 2.244 7.639
04 04256000 2.255 3.334 2.117 6.085
05 03010655 1.488 2.843 2.251 7.094
05 03011800 1.917 3.157 2.252 7.186
05 03015500 1.911 3.070 2.294 7.996
05 03021350 2.288 3.063 2.301 7.884
05 03026500 1.784 3.120 2.264 7.356
05 03028000 1.948 3.146 2.278 7.624
05 03049000 1.299 2.785 2.452 9.591
05 03049800 1.064 2.604 2.504 10.237
05 03050000 1.969 3.694 2.522 8.993
05 03066000 2.423 3.617 2.457 7.757
05 03069500 2.431 3.606 2.495 8.376
05 03070500 2.008 3.322 2.506 10.044
05 03076600 1.807 3.321 2.503 9.133
05 03078000 1.872 3.065 2.503 8.828
05 03140000 0.958 2.631 2.547 10.364
05 03144000 1.089 2.732 2.583 10.531
05 03159540 1.027 2.722 2.730 12.300
05 03161000 1.880 3.552 2.817 10.295
05 03164000 1.514 3.215 2.818 10.597
05 03165000 1.610 3.022 2.884 11.679
05 03170000 1.047 2.901 2.831 11.203
05 03173000 0.973 2.633 2.769 10.871
05 03180500 2.002 3.568 2.519 7.856
05 03182500 1.620 3.273 2.595 8.713
05 03186500 2.547 3.860 2.557 8.345
05 03187500 2.690 3.838 2.566 8.508
05 03213700 1.057 2.882 2.779 12.438
05 03237280 1.081 2.780 2.782 12.332
05 03237500 1.122 2.875 2.748 12.047
05 03238500 1.195 2.921 2.733 11.792
05 03241500 1.064 2.760 2.680 11.118
05 03280700 1.254 3.187 2.818 13.116
05 03281100 1.405 3.301 2.877 13.398
05 03281500 1.310 3.286 2.866 13.395
05 03285000 1.384 3.298 2.890 13.328
05 03291780 1.412 3.283 2.807 12.210
05 03300400 1.291 3.340 2.887 13.271
05 03338780 1.163 2.794 2.656 11.096
05 03340800 1.025 3.000 2.697 11.385
05 03346000 0.950 3.007 2.797 12.391
05 03357350 1.130 3.101 2.713 11.497
05 03364500 1.123 3.077 2.744 11.703
05 03366500 1.272 3.292 2.823 12.424
05 03368000 1.321 3.232 2.801 12.252
05 03384450 1.347 3.231 2.995 13.689
06 03439000 3.100 5.430 2.932 11.139
06 03450000 1.794 2.909 3.041 10.648
06 03455500 3.266 4.766 2.861 8.695
06 03456500 2.469 4.023 3.397 10.181
06 03460000 2.059 3.977 2.827 9.774
06 03463300 2.925 3.705 2.931 10.647
06 03471500 1.308 2.997 2.732 10.463
06 03473000 1.418 3.027 2.712 10.714
06 03479000 1.750 3.514 2.782 9.929
06 03488000 1.187 2.862 2.765 11.098
06 03498500 1.713 3.479 2.927 13.494
06 03500000 2.362 4.530 3.014 12.255
06 03500240 2.178 4.113 2.938 11.910
06 03504000 3.542 4.541 3.128 10.835
06 03574500 1.854 3.689 3.152 15.143
06 03592718 1.533 3.824 3.639 16.287
06 03604000 1.637 3.649 3.150 15.213
07 05291000 0.193 1.620 2.360 7.145
07 05362000 0.847 2.277 2.163 5.461
07 05393500 1.045 2.224 2.150 5.277
07 05399500 0.705 2.241 2.228 5.914
07 05408000 0.689 2.459 2.391 7.369
07 05412500 0.776 2.495 2.399 8.073
07 05413500 0.657 2.370 2.406 8.073
07 05414000 0.721 2.404 2.396 7.943
07 05444000 0.761 2.560 2.493 9.166
07 05454000 0.725 2.497 2.548 9.872
07 05458000 0.700 2.437 2.387 7.798
07 05466500 0.763 2.459 2.587 10.202
07 05487980 0.688 2.502 2.632 10.413
07 05488200 0.664 2.421 2.621 10.455
07 05489000 0.660 2.532 2.628 10.414
07 05495000 0.766 2.642 2.678 10.937
07 05495500 0.731 2.602 2.726 11.520
07 05501000 0.793 2.706 2.776 11.894
07 05503800 0.763 2.777 2.806 12.130
07 05507600 0.693 2.797 2.826 12.208
07 05508805 0.721 2.788 2.806 12.051
07 05514500 0.776 2.839 2.843 12.374
07 05525500 0.935 2.700 2.641 10.782
07 05556500 0.796 2.530 2.551 9.984
07 05584500 0.706 2.626 2.683 11.169
07 05585000 0.695 2.635 2.696 11.318
07 05591550 0.892 2.800 2.763 12.004
07 05592050 0.860 2.711 2.771 12.130
07 05592575 0.845 2.892 2.853 12.903
07 05593575 0.883 2.886 2.923 13.419
07 05593900 0.789 2.812 2.815 12.386
07 05595730 0.969 2.948 2.932 13.565
07 07014500 0.903 3.119 2.952 13.182
08 07290650 1.224 3.979 3.602 18.687
08 07291000 1.364 4.069 3.692 18.759
08 07292500 1.375 4.163 3.827 18.942
08 07295000 1.584 4.468 3.686 19.338
08 07359610 1.838 4.126 3.274 16.362
08 07362100 1.081 3.636 3.486 17.844
08 07362587 1.649 3.647 3.263 15.878
08 07373000 1.238 3.943 3.835 19.194
08 07375000 1.543 4.343 3.716 19.614
08 07376000 1.469 4.355 3.714 19.456
08 08013000 1.582 4.122 3.674 19.187
08 08014500 1.505 4.322 3.726 19.363
09 05056000 0.115 1.329 2.203 5.402
09 05057000 0.134 1.370 2.184 5.329
09 05057200 0.094 1.399 2.217 5.492
09 05062500 0.301 1.719 2.322 5.204
09 05087500 0.239 1.510 2.104 4.609
09 05120500 0.066 1.227 2.783 5.592
09 05123400 0.070 1.258 2.929 4.561
09 05129115 0.659 1.858 2.170 3.921
09 05131500 0.600 1.778 2.027 4.082
10 06453600 0.118 1.696 2.594 9.746
10 06464500 0.082 1.467 2.609 9.757
10 06479215 0.199 1.583 2.336 6.797
10 06479438 0.190 1.563 2.348 7.014
10 06601000 0.335 2.087 2.581 9.529
10 06614800 1.855 2.621 2.853 -0.522
10 06622700 1.203 2.495 2.718 2.286
10 06623800 1.417 3.095 2.519 1.440
10 06632400 1.132 2.005 2.522 1.641
10 06746095 3.032 2.810 2.513 0.327
10 06784000 0.133 1.709 2.764 10.589
10 06803510 0.330 2.085 2.750 10.940
10 06803530 0.315 2.132 2.749 10.813
10 06814000 0.438 2.362 2.803 11.503
10 06847900 0.010 1.534 4.044 12.624
10 06853800 0.116 1.971 2.907 11.976
10 06876700 0.169 2.068 3.001 13.085
10 06878000 0.271 2.223 2.954 12.805
10 06879650 0.528 2.495 2.936 12.673
10 06885500 0.448 2.446 2.837 11.851
10 06888500 0.623 2.561 2.940 12.641
10 06889200 0.616 2.590 2.879 12.405
10 06889500 0.599 2.603 2.890 12.604
10 06892000 0.686 2.690 2.864 12.411
10 06903400 0.697 2.544 2.643 10.397
10 06906800 0.872 2.992 2.922 12.894
10 06910800 0.581 2.636 2.961 12.808
10 06911900 0.583 2.673 2.945 12.847
10 06917000 0.809 3.019 2.994 13.284
10 06918460 1.028 3.227 3.034 13.713
10 06919500 0.831 3.255 3.024 13.610
10 06921070 0.998 3.258 3.007 13.399
10 06921200 0.976 3.242 2.997 13.461
10 06934000 0.926 3.258 2.957 13.364
10 06037500 1.157 2.591 2.667 1.660
10 06043500 0.903 2.390 2.313 1.611
10 06154410 0.251 1.177 2.203 6.347
10 06188000 1.368 2.145 2.285 0.875
10 06191500 1.105 2.075 2.357 0.946
10 06221400 1.427 1.955 2.646 -1.586
10 06224000 1.375 1.954 3.223 -0.856
10 06278300 1.239 2.378 2.965 -1.133
10 06280300 1.217 2.088 2.480 -0.600
10 06289000 0.698 1.908 2.305 2.377
10 06291500 0.500 1.670 2.398 5.479
10 06311000 0.570 1.983 2.248 0.985
10 06332515 0.051 1.048 2.240 6.794
10 06339100 0.058 1.020 2.275 6.856
10 06339500 0.044 1.094 2.287 7.023
10 06344600 0.064 1.009 2.314 7.202
10 06350000 0.049 1.056 2.337 7.493
10 06352000 0.047 1.061 3.073 7.587
10 06353000 0.039 1.102 2.694 7.648
10 06354000 0.047 1.092 2.771 7.528
10 06360500 0.052 1.140 2.467 8.787
10 06404000 0.132 1.433 2.471 7.810
10 06406000 0.091 1.361 2.518 8.603
10 06408700 0.663 2.105 2.346 4.747
10 06409000 0.170 1.884 2.350 4.651
10 06431500 0.350 2.086 2.526 5.936
10 06440200 0.067 1.184 2.562 10.269
10 06441500 0.052 1.237 2.567 9.766
10 06447000 0.048 1.237 2.629 10.252
10 06447500 0.071 1.321 2.626 9.692
10 06450500 0.096 1.382 2.597 9.903
10 06452000 0.061 1.321 2.631 10.094
10 06468170 0.144 1.354 2.225 5.533
10 06468250 0.165 1.387 3.066 5.592
10 06470800 0.150 1.563 2.274 6.208
10 06477500 0.066 1.654 2.512 8.836
