BASIN_HUC BASIN_ID Runoff(mm_day-1) Precip(mm_day-1) PET(mm_day-1) Temp(oC)
01 01013500 1.685 3.130 1.953 3.338
01 01022500 2.145 3.640 2.100 6.515
01 01030500 1.858 3.288 2.027 5.091
01 01031500 2.022 3.479 2.059 4.646
01 01047000 2.160 3.338 2.078 4.420
01 01052500 2.284 3.762 2.083 3.205
01 01054200 2.737 4.033 2.111 4.367
01 01055000 2.220 3.442 2.074 3.869
01 01057000 1.860 3.539 2.119 6.005
01 01073000 1.678 3.434 2.196 8.512
01 01078000 1.736 3.538 2.169 6.469
01 01118300 2.123 3.767 2.301 10.060
01 01121000 1.823 3.701 2.289 9.097
01 01123000 1.762 3.791 2.296 9.442
01 01134500 2.041 3.500 2.082 4.303
01 01137500 2.424 3.978 2.131 3.864
01 01139000 1.613 3.131 2.102 5.401
01 01139800 1.784 3.273 2.111 4.888
01 01142500 1.777 3.293 2.129 5.787
01 01144000 1.855 3.388 2.142 5.678
01 01162500 1.772 3.692 2.241 7.273
01 01169000 2.238 3.883 2.243 6.675
01 01170100 2.132 3.873 2.233 6.720
01 01181000 2.090 3.771 2.254 7.089
01 01187300 2.074 3.905 2.271 7.571
01 01195100 1.635 3.578 2.348 10.642
01 04296000 1.692 3.592 2.143 5.195
02 01333000 1.972 3.614 2.199 6.760
02 01350000 2.041 3.846 2.233 6.367
02 01350080 1.514 3.547 2.227 6.622
02 01350140 1.468 3.404 2.225 6.641
02 01365000 2.668 4.197 2.291 7.120
02 01411300 1.220 3.179 2.526 12.716
02 01413500 1.898 3.777 2.222 6.339
02 01414500 2.130 3.936 2.218 6.179
02 01415000 1.724 3.673 2.224 6.466
02 01423000 1.773 3.609 2.209 6.512
02 01434025 2.743 4.479 2.263 5.686
02 01435000 2.863 4.305 2.288 6.307
02 01439500 2.004 3.614 2.332 8.571
02 01440000 1.785 3.535 2.332 9.273
02 01440400 2.084 3.662 2.321 8.343
02 01451800 1.725 3.510 2.407 10.331
02 01466500 0.779 3.528 3.086 12.054
02 01484100 1.118 3.259 2.594 13.591
02 01485500 1.096 3.212 2.621 14.015
02 01486000 1.048 3.230 2.659 14.225
02 01487000 1.186 3.258 2.599 13.698
02 01491000 1.228 3.242 2.585 13.471
02 01510000 1.815 3.405 2.226 7.048
02 01516500 0.999 3.048 2.252 7.288
02 01518862 1.143 2.988 2.255 6.998
02 01532000 1.297 3.108 2.282 7.643
02 01539000 1.710 3.362 2.347 8.462
02 01542810 1.580 3.373 2.258 7.223
02 01543000 1.615 3.339 2.266 7.495
02 01543500 1.608 3.347 2.274 7.698
02 01544500 1.613 3.268 2.277 7.300
02 01545600 1.488 3.293 2.285 7.543
02 01547700 1.294 3.130 2.332 8.917
02 01548500 1.387 3.043 2.257 7.215
02 01549500 1.489 3.173 2.277 7.521
02 01550000 1.644 3.239 2.275 7.551
02 01552000 1.712 3.407 2.294 7.638
02 01552500 1.950 3.580 2.275 7.355
02 01557500 1.570 3.100 2.345 8.812
02 01567500 1.313 3.208 2.419 10.429
02 01568000 1.409 3.299 2.410 10.370
02 01580000 1.300 3.421 2.513 11.881
02 01583500 1.123 3.268 2.541 12.405
02 01586610 1.175 3.331 2.535 12.158
02 01591400 1.046 3.265 2.624 12.506
02 01594950 1.849 3.885 2.446 8.470
02 01596500 1.492 3.291 2.428 8.464
02 01605500 0.985 3.144 2.529 9.125
02 01606500 1.152 3.297 2.490 9.064
02 01613050 1.200 3.037 2.436 10.351
02 01620500 1.551 3.308 2.523 9.224
02 01632000 0.923 2.908 2.540 10.464
02 01632900 0.768 2.877 2.669 11.722
02 01634500 0.978 2.932 2.513 10.951
02 01638480 1.025 3.013 2.552 12.313
02 01639500 1.115 3.184 2.526 11.932
02 01644000 0.966 3.019 2.553 12.342
02 01658500 0.876 3.191 2.681 13.078
02 01664000 1.065 3.125 2.562 12.379
02 01666500 1.194 3.191 2.651 12.518
02 01667500 1.137 3.203 2.680 12.608
02 01669000 0.974 3.209 2.668 14.419
02 01669520 1.052 3.295 2.678 14.608
02 02011400 0.980 3.232 2.537 9.619
02 02011460 1.400 3.342 2.511 8.989
02 02013000 0.987 3.025 2.591 10.712
02 02014000 1.065 3.121 2.544 10.608
02 02015700 1.342 3.136 2.553 9.641
02 02016000 1.141 3.106 2.565 10.599
02 02017500 1.165 3.027 2.593 10.905
02 02018000 1.103 3.058 2.616 11.310
02 02027000 1.617 3.520 2.647 11.557
02 02027500 1.850 3.694 2.649 11.125
02 02028500 1.414 3.368 2.590 12.303
02 02038850 0.821 3.164 2.779 13.496
03 02046000 0.818 3.276 2.720 14.308
03 02051000 0.745 3.201 2.710 13.854
03 02051500 0.805 3.228 2.991 14.180
03 02053200 0.875 3.381 2.787 15.353
03 02053800 0.974 3.231 2.660 11.229
03 02055100 0.990 3.076 3.049 12.642
03 02056900 1.035 3.173 2.695 12.582
03 02059500 0.886 3.119 3.688 13.131
03 02064000 0.879 3.089 2.940 13.498
03 02065500 0.904 3.125 3.696 13.610
03 02069700 1.323 3.509 2.708 12.972
03 02070000 1.101 3.297 3.756 13.481
03 02074500 0.914 3.258 3.442 13.711
03 02077200 0.903 3.261 3.087 14.552
03 02081500 0.818 3.254 2.785 14.628
03 02082950 0.818 3.287 3.180 14.899
03 02092500 0.988 3.759 3.199 16.730
03 02096846 0.708 3.354 3.422 15.028
03 02102908 1.301 3.375 2.896 16.110
03 02108000 1.070 3.735 3.199 16.850
03 02111180 1.664 3.658 2.713 12.446
03 02111500 1.391 3.560 2.727 12.507
03 02112120 1.295 3.553 2.886 12.536
03 02112360 1.441 3.437 2.692 12.753
03 02118500 1.135 3.531 2.942 13.815
03 02125000 0.958 3.225 3.064 15.668
03 02128000 0.889 3.244 2.913 15.549
03 02137727 1.765 3.968 2.792 12.938
03 02140991 1.697 3.691 2.736 12.809
03 02143000 1.405 3.729 2.897 14.072
03 02143040 1.637 4.063 2.795 13.557
03 02149000 1.507 3.786 2.777 13.932
03 02152100 1.261 3.802 3.119 13.945
03 02177000 2.794 5.281 2.804 12.779
03 02178400 2.838 5.142 2.803 11.935
03 02193340 0.646 3.253 3.556 16.647
03 02196000 0.491 3.263 3.885 16.758
03 02198100 0.742 3.296 3.586 17.956
03 02202600 0.647 3.288 3.157 18.955
03 02212600 0.698 3.307 4.012 17.262
03 02215100 0.869 3.365 3.144 18.245
03 02216180 0.849 3.347 3.178 18.646
03 02221525 0.722 3.289 3.180 17.050
03 02231000 0.750 3.719 3.471 20.126
03 02231342 0.817 3.649 3.618 22.729
03 02235200 0.396 3.692 4.045 21.746
03 02245500 0.908 3.724 3.795 20.580
03 02246000 0.913 3.659 3.299 20.427
03 02296500 0.671 3.685 3.499 22.635
03 02297155 0.688 3.929 3.880 22.656
03 02297310 0.787 3.845 4.026 22.740
03 02298123 0.889 3.712 3.515 22.825
03 02298608 1.174 3.880 3.606 22.770
03 02299950 1.140 3.904 3.568 22.683
03 02300700 1.390 3.848 3.550 22.755
03 02310947 0.383 3.763 3.589 22.404
03 02312200 0.403 3.651 3.732 22.054
03 02314500 0.658 3.645 3.462 19.557
03 02315500 0.594 3.677 3.695 19.709
03 02324400 0.635 3.960 4.033 20.053
03 02327100 1.642 4.174 3.252 19.871
03 02342933 0.919 3.692 3.263 18.025
03 02349900 0.808 3.330 3.198 18.237
03 02350900 0.896 3.549 3.206 18.147
03 02361000 1.136 3.833 3.379 18.430
03 02363000 1.051 3.919 4.188 18.020
03 02369800 1.435 4.489 3.678 18.700
03 02371500 1.081 3.869 3.145 17.992
03 02372250 1.137 3.918 3.822 18.016
03 02374500 1.407 4.304 4.336 18.163
03 02381600 1.450 4.268 2.988 14.208
03 02384540 2.184 4.820 2.783 13.168
03 02395120 1.192 3.710 2.939 15.546
03 02408540 1.407 4.082 3.134 16.414
03 02415000 1.471 4.101 2.997 16.160
03 02422500 1.266 3.961 3.071 17.273
03 02427250 1.182 3.999 4.014 18.079
03 02430085 1.585 4.167 2.936 15.861
03 02430615 1.540 4.186 2.942 16.026
03 02450250 1.635 4.314 2.986 15.552
03 02464000 1.523 4.216 2.991 16.494
03 02464146 1.414 4.174 3.023 16.779
03 02464360 1.420 4.102 3.214 16.908
03 02465493 1.133 4.088 4.218 17.292
03 02469800 1.254 4.065 3.328 18.143
03 02472000 1.304 4.148 3.279 17.816
03 02472500 1.301 4.275 4.351 18.285
03 02479155 1.549 4.458 3.189 18.771
03 02479300 1.745 4.595 3.199 19.066
03 02479560 1.747 4.596 3.175 18.728
03 02481000 1.897 4.701 3.208 19.308
03 02481510 1.736 4.581 3.205 19.166
04 04015330 1.036 2.251 1.949 4.051
04 04024430 0.877 2.294 2.000 4.826
04 04027000 0.954 2.475 2.043 4.724
04 04040500 1.061 2.502 2.246 4.214
04 04043050 1.442 2.242 2.069 4.921
04 04045500 1.031 2.551 2.783 5.156
04 04056500 1.166 2.407 2.022 5.446
04 04057510 0.891 2.377 2.025 5.635
04 04057800 1.093 2.513 2.036 4.159
04 04059500 0.695 2.205 2.041 5.276
04 04063700 0.678 2.278 2.039 4.535
04 04074950 0.824 2.373 2.204 4.707
04 04105700 1.077 2.778 2.319 9.049
04 04115265 0.773 2.537 2.451 8.119
04 04122200 1.086 2.647 2.220 7.940
04 04122500 1.105 2.642 2.201 7.639
04 04124000 1.186 2.504 2.430 6.548
04 04127918 0.971 2.606 2.015 5.268
04 04127997 1.075 2.548 2.872 6.227
04 04161580 0.603 2.486 2.316 8.528
04 04185000 0.899 2.576 2.370 9.363
04 04196800 0.913 2.672 2.443 10.320
04 04197100 0.922 2.768 2.555 9.932
04 04197170 0.914 2.729 2.402 10.045
04 04213000 1.648 3.301 2.300 8.925
04 04213075 1.565 3.263 2.295 9.213
04 04216418 1.428 3.143 2.226 7.453
04 04221000 1.272 3.094 2.257 6.769
04 04224775 1.053 2.864 2.230 7.314
04 04233000 1.125 2.819 2.269 8.045
04 04256000 2.254 3.617 2.180 5.343
05 03010655 1.483 3.186 2.247 6.804
05 03011800 1.927 3.557 2.245 6.595
05 03015500 1.922 3.587 2.252 7.542
05 03021350 2.323 3.686 2.254 7.643
05 03026500 1.787 3.519 2.253 6.672
05 03028000 1.960 3.453 2.255 6.869
05 03049000 1.332 3.296 2.371 9.426
05 03049800 1.073 3.032 2.423 10.293
05 03050000 1.928 3.871 2.463 8.716
05 03066000 2.331 4.081 2.434 7.630
05 03069500 2.410 3.997 2.436 7.872
05 03070500 1.983 3.673 2.424 9.485
05 03076600 1.784 3.612 2.432 8.589
05 03078000 1.867 3.485 2.427 8.312
05 03140000 0.983 2.878 2.435 10.353
05 03144000 1.074 2.959 2.447 10.359
05 03159540 1.029 3.079 2.515 11.489
05 03161000 1.928 3.993 2.659 10.200
05 03164000 1.555 3.711 2.661 10.242
05 03165000 1.660 3.627 2.653 10.940
05 03170000 1.075 3.357 2.777 11.067
05 03173000 0.985 3.010 2.628 10.866
05 03180500 1.958 3.742 2.476 7.808
05 03182500 1.596 3.516 2.512 8.519
05 03186500 2.521 4.046 2.506 8.080
05 03187500 2.574 4.038 2.512 8.101
05 03213700 1.094 3.475 2.604 11.820
05 03237280 1.085 3.408 2.549 11.576
05 03237500 1.122 3.156 2.550 11.565
05 03238500 1.184 3.204 2.553 11.523
05 03241500 1.082 3.019 2.505 10.865
05 03280700 1.302 3.957 2.765 12.416
05 03281100 1.287 3.805 2.674 12.761
05 03281500 1.350 3.786 2.659 12.725
05 03285000 1.385 3.531 2.696 13.153
05 03291780 1.386 3.528 2.580 11.964
05 03300400 1.316 3.451 2.694 13.297
05 03338780 1.119 2.911 2.469 10.653
05 03340800 1.048 3.136 2.517 10.921
05 03346000 0.962 3.123 2.593 12.174
05 03357350 1.178 3.184 2.546 11.050
05 03364500 1.143 3.252 2.539 11.307
05 03366500 1.276 3.494 2.588 12.123
05 03368000 1.317 3.378 2.563 11.795
